,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,withoutdead_asymmetry_thrown_beta,withoutdead_asymmetry_type0_beta,withoutdead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,err_withoutdead_asymmetry_thrown_beta,err_withoutdead_asymmetry_type0_beta,err_withoutdead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,withoutdead_correction_misbs,withoutdead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,err_withoutdead_correction_misbs,err_withoutdead_correction_misbs_thrown,dead_precision_type0_corrected_asymmetry,withoutdead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,withoutdead_precision_type0_correction,dead_KE;1,dead_EdepType0;1,dead_EdepType1;1,withoutdead_KE;1,withoutdead_EdepType0;1,withoutdead_EdepType1;1,dead_weighted_corrected_asymmetry_type0,withoutdead_weighted_corrected_asymmetry_type0,dead_err_weight,withoutdead_err_weight,err_dead_weighted_corrected_asymmetry_type0,err_withoutdead_weighted_corrected_asymmetry_type0
0,50,600,-0.1175232715296296,-0.1188409983342059,-0.12033737717769226,-0.11701365978050919,-0.11817681469014091,-0.11954746387872009,0.000678735068313064,0.0006768735676945844,0.0008135942683786477,0.0005274120348584585,0.0005472079376627831,0.0005315816000667363,0.012578955618402093,0.0038577247302149327,0.011533304419706503,0.0206152286883462,0.0018134136393940395,0.0029494409767247608,0.0018556837769962654,0.0035653989232278475,-0.006760944001440884,-0.004446615451466384,0.14416249602957085,0.16089784067656548,174136632.0,170192886.0,2867946.0,174134216.0,170451755.0,2913373.0,-0.11761204566964394,-0.11701936294890458,0.00014560683318094633,0.0001459988793549835,-9.357994141646192e-05,-6.011878317747906e-05
1,75,600,-0.1177499158438713,-0.11882412343573256,-0.12029758309676097,-0.11738606481060387,-0.11846510061151676,-0.11971716437142188,0.0006938501861097926,0.0007205029843310655,0.000865500929314545,0.00045650018619147737,0.0005275107509756515,0.000546940429918814,0.012388413901488851,0.00337847780892479,0.010545460442772629,0.01991953488887547,0.0019229869226534409,0.0028076678133878395,0.0017654642738997692,0.003564628471597047,-0.007194665986085373,-0.004568604951433147,0.15522462665073972,0.16741462200540866,167702888.0,163609367.0,2781487.0,167694898.0,163840245.0,2821123.0,-0.11736119548573883,-0.11696533272776749,0.0001479061909471883,0.00014828721311333377,-9.94357980590375e-05,-6.184778745421888e-05
2,100,600,-0.11748958429986098,-0.11840181061249093,-0.11970389970134682,-0.1174342251707706,-0.11854851134599016,-0.11965140059702434,0.0007237181195603636,0.000713160841218114,0.0008251400027369373,0.0004921473363469952,0.0005676667080668139,0.0005900622106384712,0.010971333024104255,0.00283277628130853,0.00929804006271076,0.0192707093400844,0.001805501016782187,0.002657170435784898,0.0016608091584031889,0.0037324371679682074,-0.006893175617466149,-0.004931511103875417,0.1645653279155288,0.17861927322337162,160204110.0,156029253.0,2666561.0,160201636.0,156250038.0,2702239.0,-0.11658446248094427,-0.11670003101615188,0.00015088090795610515,0.00015125963964641783,-9.403652759915847e-05,-6.669477605557342e-05
3,125,600,-0.11690238344601246,-0.11795591444836546,-0.11906909667426066,-0.11731253779285673,-0.11845165142484242,-0.11938364907699565,0.0006824774467953942,0.0007219595401301781,0.0007957073746144577,0.0005338445124566352,0.0006207054826454284,0.0006222630968561001,0.009402468627186265,0.0019215175740274404,0.007865398867692957,0.018587625922596163,0.001678118583965526,0.002598816878738348,0.0015387753390022994,0.0039307802327458894,-0.0066827363005137076,-0.005212297510312956,0.1784763821613209,0.19563856390332637,151873297.0,147677594.0,2533357.0,151876794.0,147889339.0,2564498.0,-0.11577965359248252,-0.11624928657240978,0.00015452829542656689,0.00015490784911460353,-8.993590704541003e-05,-7.012982381789317e-05
4,150,600,-0.11637457270179753,-0.1174601403241119,-0.11856430580328307,-0.11722748551558303,-0.1185422804191305,-0.1193805923927641,0.0006774010541487675,0.0007383867557898383,0.0008251375672236626,0.00059252131414242,0.0006903576804712658,0.0006946128388802968,0.00935428330670452,0.0009546820664868968,0.007074418172047948,0.019214967571692824,0.001876765442049086,0.002551869502848554,0.001636658546409527,0.004503546441577229,-0.006959409593243824,-0.0058184737146806005,0.20063166578501496,0.2313488553555121,142900254.0,138731986.0,2386858.0,142902022.0,138931084.0,2414551.0,-0.11510589486286557,-0.11606326402917427,0.00015886443890955675,0.0001592587949129798,-9.27449620664582e-05,-7.834932063430207e-05
5,175,600,-0.11605011926710332,-0.11673843109392078,-0.11779025413444266,-0.11737408110461797,-0.11843940034546016,-0.11929038763548933,0.0007380901148175228,0.0007021130945742898,0.0007974422765358382,0.0006637021360503965,0.0007791638787509552,0.0007846195979742901,0.008945843174567676,0.0003590984489743159,0.007186099758547838,0.01830591766526158,0.0021162376624710546,0.0023266160071215383,0.0018534286054346712,0.004757533097668394,-0.006770019153075761,-0.006577391636716108,0.23656100617629322,0.25791857442975585,133439894.0,129339261.0,2231981.0,133440162.0,129522036.0,2256840.0,-0.11417053750620493,-0.11578773324464192,0.00016393760084326792,0.0001643420491676781,-8.876985389118678e-05,-8.851070504238349e-05
6,200,600,-0.11561460902110535,-0.11680513381392231,-0.11788815424216412,-0.11715244661038504,-0.11813720308288365,-0.11878360746303603,0.0008025989478385173,0.0008055204092464349,0.000914091010128526,0.0007489007371738437,0.0008753986475431687,0.000845397448032155,0.009198861843869005,0.01451282910599253,0.005462258696721098,0.017328617898248338,0.0024238551226109717,0.0033445810190801508,0.001850316370278757,0.005060961457024874,-0.007753883466958127,-0.007117122186200921,0.2634951109985915,0.33874564955875686,123631641.0,119628907.0,2070756.0,123634541.0,119807101.0,2093938.0,-0.11407137304144904,-0.11510634116778345,0.00016981117073967548,0.00017024458187359383,-0.00010191164601212145,-9.490853341818421e-05
7,225,600,-0.11564004514271645,-0.11650511180159774,-0.11733526397414323,-0.11724107943335746,-0.11843037029462777,-0.11913775637968842,0.0009339730675170797,0.0009207394181025403,0.0010105353158817176,0.0008698918734311367,0.0010043064418467826,0.00096116796177761,0.007074639357553995,0.012667378313811387,0.0059628955755090685,0.021065913628839753,0.002511322655959958,0.0030561135847606844,0.0021326088991072637,0.0064072119551694135,-0.008612375185898127,-0.008067702389109938,0.3549753604441301,0.35764652794966934,113601373.0,109732401.0,1906260.0,113605164.0,109900770.0,1927055.0,-0.11333912520451261,-0.11525295771062105,0.00017661162168530062,0.00017707226118907234,-0.0001121016768552472,-0.00010826412130618438
8,250,600,-0.11634799573335453,-0.11733387651147005,-0.11818052486752662,-0.11731021079232154,-0.11823677083191059,-0.11869556268984668,0.0010149094356616596,0.0009654046402008244,0.001079060641550039,0.0010265605399802872,0.0011818572886524881,0.0011044408441419499,0.007170219042611284,0.012735373800252834,0.00385774620942705,0.019626369060066765,0.0029593834271411526,0.0037235055680942173,0.002176953936335213,0.006878524029617297,-0.009130613041020101,-0.009304819987482352,0.41273263892694007,0.5643071934113916,103476229.0,99770332.0,1739867.0,103480574.0,99927852.0,1758562.0,-0.1139480083098833,-0.11462047573806193,0.00018446296846365276,0.00018495482284958158,-0.00012038048372972312,-0.00012398577369313396
9,275,600,-0.11615176905233261,-0.11734894051414947,-0.11780640648594261,-0.11784657136913547,-0.11898553032585134,-0.11920315118720337,0.0012117064341765332,0.0011596387100375842,0.0012759298498290323,0.0011870271139096632,0.0013442226710314953,0.0012900897899778341,0.003907538023383262,0.010882628121598391,0.0018140737306974958,0.019525321858178107,0.0029357635986200716,0.00408576366504473,0.0022872205070059125,0.00818467657883065,-0.010830733980339891,-0.010822614814534594,0.7513077495476809,1.2608200363093818,93366057.0,89858072.0,1571756.0,93365009.0,89994186.0,1588618.0,-0.11338013938057914,-0.11489947545260025,0.0001935751154683879,0.00019409275145840517,-0.0001419786011240739,-0.0001454727003103725
