,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,withoutdead_asymmetry_thrown_beta,withoutdead_asymmetry_type0_beta,withoutdead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,err_withoutdead_asymmetry_thrown_beta,err_withoutdead_asymmetry_type0_beta,err_withoutdead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,withoutdead_correction_misbs,withoutdead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,err_withoutdead_correction_misbs,err_withoutdead_correction_misbs_thrown,dead_precision_type0_corrected_asymmetry,withoutdead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,withoutdead_precision_type0_correction,dead_KE;1,dead_EdepType0;1,dead_EdepType1;1,withoutdead_KE;1,withoutdead_EdepType0;1,withoutdead_EdepType1;1,dead_weighted_corrected_asymmetry_type0,withoutdead_weighted_corrected_asymmetry_type0,dead_err_weight,withoutdead_err_weight,dead_err_weight_asymmetry,withoutdead_err_weight_asymmetry,err_dead_weighted_corrected_asymmetry_type0,err_withoutdead_weighted_corrected_asymmetry_type0
0,50,600,-0.11766867241910167,-0.11916570862546987,-0.12048510900493578,-0.11701365978050919,-0.11834693321956201,-0.11962214029338308,0.0005850140100678667,0.0006133970153887097,0.0006399036079007536,0.0005274120348584585,0.0005400860556671782,0.0005273822277361029,0.01106733010536818,0.018280695012758773,0.010735762172379117,0.021388426646416988,0.001350918904182812,0.004308033333855621,0.0016818620255719323,0.0036087435706915667,-0.005311059708420394,-0.0044087342564065055,0.12206366768870049,0.1566597693360806,174140562.0,170062855.0,2934938.0,174134216.0,170323445.0,3047716.0,-0.11766380782879056,-0.11700431713571052,0.0001454049901810094,0.00014580675310331268,-7.318270012728872e-05,-5.961958204236243e-05,-7.318270012728872e-05,-5.961958204236243e-05
1,75,600,-0.11762792904909478,-0.1191301184124291,-0.12033554293137166,-0.11738606481060387,-0.11860011737529587,-0.11977813350847905,0.0006209662140521489,0.0006522385500746829,0.0006689014084108882,0.00045650018619147737,0.0005322840604149414,0.0005452507313387934,0.010120687176917597,0.017412740550898306,0.009922720330805457,0.020667783514352448,0.0011831020777638675,0.00442826356016447,0.0016358906579428333,0.0035983183301587915,-0.0055586353966289755,-0.004552172549092154,0.11689938213505761,0.16486312255160004,167703507.0,163508167.0,2832580.0,167694898.0,163733236.0,2932438.0,-0.11732517942906458,-0.11694846793361183,0.00014774504290537312,0.00014811790826879163,-7.633953455669866e-05,-6.164121947577051e-05,-7.633953455669866e-05,-6.164121947577051e-05
2,100,600,-0.11770703651961974,-0.11917376834176736,-0.12030432018275693,-0.1174342251707706,-0.11865379841805267,-0.1197232684915052,0.0006686201919110689,0.0007052896567387203,0.0007237053533587887,0.0004921473363469952,0.0005748021052725101,0.0005888128768011692,0.009493909601394863,0.01648872537412877,0.009012414835831453,0.02003205243699749,0.0011897756575492398,0.004591723059499888,0.0016314780543658712,0.0037865057817648997,-0.006015622317298265,-0.004918115619629509,0.12531988480008655,0.18102562787938478,160207151.0,155945922.0,2707268.0,160201636.0,156158461.0,2796873.0,-0.11710443643981433,-0.11670168807466638,0.0001507336199480546,0.00015110467236274057,-8.256752035888365e-05,-6.654957353086985e-05,-8.256752035888365e-05,-6.654957353086985e-05
3,125,600,-0.11775661175317613,-0.11905363688570345,-0.12012356929622173,-0.11731253779285673,-0.11854835132571025,-0.11945826982441582,0.0007334896494795528,0.0007711630033495501,0.0007860605518306405,0.0005338445124566352,0.0006279267235755794,0.0006213398482297303,0.008990926939054804,0.01549913771494118,0.0076750953758419884,0.01934138354539556,0.001262551742389386,0.004702662137294774,0.0015416711502647409,0.003997177874056356,-0.006543766193728683,-0.005201312970152662,0.14042509197857136,0.20086670911182175,151880931.0,147610083.0,2565583.0,151876794.0,147809735.0,2646449.0,-0.11674572915326376,-0.11625933588185565,0.0001543873687754004,0.00015476210031559588,-8.954145320508e-05,-7.002805988124492e-05,-8.954145320508e-05,-7.002805988124492e-05
4,150,600,-0.11783970354178744,-0.11936257849431631,-0.12037700731749622,-0.11722748551558303,-0.11863266088876798,-0.11944823376827539,0.0008158874196455991,0.000836947254617119,0.0008617615645266105,0.00059252131414242,0.0006987547307397644,0.0006935296530348432,0.008513704842777055,0.01570595533399389,0.006879273484983688,0.019915335034030656,0.0013707133187092432,0.005528445506776933,0.001639098837234221,0.004567899523918263,-0.007158855197767968,-0.005806110573223393,0.16100080329565844,0.23826627053163416,142906311.0,138671639.0,2413193.0,142902022.0,138861505.0,2486058.0,-0.11680993502541812,-0.11607086644760381,0.0001587285291024662,0.00015911938371974892,-9.836223694380554e-05,-7.822829137469992e-05,-9.836223694380554e-05,-7.822829137469992e-05
5,175,600,-0.1182299533763231,-0.11931628806017319,-0.1202760915035801,-0.11737408110461797,-0.11852348093922235,-0.11935376363762228,0.0008890933908055247,0.0009473751250356723,0.0009738563939271794,0.0006637021360503965,0.0007883492892850033,0.0007831643868141879,0.008058266024181039,0.014464703238018463,0.007008545493740635,0.018981628764035703,0.0015250562989840952,0.005610576446932925,0.0018558033686476812,0.0048306885203633675,-0.0080968410409162,-0.0065617066688571654,0.18925365511733483,0.2647915134895119,133443489.0,129284140.0,2252774.0,133440162.0,129461234.0,2319387.0,-0.11652716194045,-0.11579486484039872,0.0001638055713287768,0.0001642072092280609,-0.00011111105493007642,-8.834722993032428e-05,-0.00011111105493007642,-8.834722993032428e-05
6,200,600,-0.11763055866635624,-0.118482210654696,-0.11935407688612525,-0.11715244661038504,-0.11822346311250667,-0.11883665505922612,0.0009499088987551216,0.0009591156096064816,0.0009635182248998486,0.0007489007371738437,0.0008864396447108396,0.000841294987462695,0.0073453405441778015,0.013062273691531288,0.005179295320203097,0.017973658283377113,0.0017027604634403152,0.005883747713325996,0.0018148340066775352,0.0051415797592345176,-0.008072771789933356,-0.007079423323076606,0.2318150469946541,0.3504017234928341,123637155.0,119585124.0,2088174.0,123634541.0,119753638.0,2148753.0,-0.11544241764809957,-0.11510635827162115,0.00016968554027800697,0.00017011180631645658,-0.00010881363566981807,-9.443605769379943e-05,-0.00010881363566981807,-9.443605769379943e-05
7,225,600,-0.11669695882433043,-0.11771773009340944,-0.11868845868564257,-0.11724107943335746,-0.11850693665593294,-0.11917787196877241,0.0009458935693569284,0.0010157545033012115,0.0010467968413518283,0.0008698918734311367,0.0010183643376681687,0.000957886438365765,0.008218138628255142,0.014199263145427483,0.0056531242634937015,0.021431040321563535,0.0019185116504728437,0.007652950077131173,0.0020932928248369007,0.006458055523277061,-0.008819702041327936,-0.008037452108699803,0.2334484409738143,0.37028954738440856,113612476.0,109698418.0,1920252.0,113605164.0,109853843.0,1975121.0,-0.11459952824787789,-0.11524253630170919,0.0001764772625875065,0.0001769401244809409,-0.00011747639777634313,-0.00010787611744558346,-0.00011747639777634313,-0.00010787611744558346
8,250,600,-0.11666159417582928,-0.11718156975227736,-0.11819527038434105,-0.11731021079232154,-0.11830871341366372,-0.11875278800414286,0.0011170476333821173,0.001156306207338251,0.001201245322247609,0.0010265605399802872,0.0011982703748277936,0.0011029090676015398,0.008602861958084643,0.011999064036162792,0.0037315557356000124,0.019974107343284413,0.002260291514239723,0.008099282770098444,0.0021863150724980404,0.0069556921330387,-0.01016322665316018,-0.009287437256319938,0.2627371594769793,0.5858990800110597,103483413.0,99735649.0,1749564.0,103480574.0,99886761.0,1800617.0,-0.11391470051835972,-0.1146285809494397,0.0001843221472061953,0.00018482191467238237,-0.00013426449825997748,-0.00012381850117286264,-0.00013426449825997748,-0.00012381850117286264
9,275,600,-0.11642386304720337,-0.11719256669738246,-0.118011610266975,-0.11784657136913547,-0.11903844625304479,-0.11924737263045035,0.0013323914609529172,0.0013891375991962895,0.0014387872186900409,0.0011870271139096632,0.0013688447210586754,0.0012900792488232833,0.0069645150740750405,0.009711802750062644,0.0017379221239883014,0.019783173713988807,0.0025205561659610303,0.009523983075317924,0.002317016123920598,0.008254137498911655,-0.012191912435014699,-0.010818512981592148,0.3619140943988532,1.3332105575613207,93365342.0,89817407.0,1579214.0,93365009.0,89958503.0,1625184.0,-0.11352710334498932,-0.1148965254051278,0.0001934253782897,0.00019395827195235353,-0.00016064756028430832,-0.00014546754899663695,-0.00016064756028430832,-0.00014546754899663695
