,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,withoutdead_asymmetry_thrown_beta,withoutdead_asymmetry_type0_beta,withoutdead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,err_withoutdead_asymmetry_thrown_beta,err_withoutdead_asymmetry_type0_beta,err_withoutdead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,withoutdead_correction_misbs,withoutdead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,err_withoutdead_correction_misbs,err_withoutdead_correction_misbs_thrown,dead_precision_type0_corrected_asymmetry,withoutdead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,withoutdead_precision_type0_correction,dead_KE;1,dead_EdepType0;1,dead_EdepType1;1,withoutdead_KE;1,withoutdead_EdepType0;1,withoutdead_EdepType1;1,dead_weighted_corrected_asymmetry_type0,withoutdead_weighted_corrected_asymmetry_type0,dead_err_weight,withoutdead_err_weight,err_dead_weighted_corrected_asymmetry_type0,err_withoutdead_weighted_corrected_asymmetry_type0
0,50,600,-0.11766867241910167,-0.11825741324107522,-0.12027134081643555,-0.11701365978050919,-0.11733903200414394,-0.11935307095530345,0.0005850140100678667,0.0006142513327424731,0.0006364322231602752,0.0005274120348584585,0.0006030229782057239,0.0005175556219392669,0.016881393414939765,0.016877646009577474,0.016899783213669823,0.018925260032744164,0.0024334235173819464,0.0043389090024801655,0.002848892119304812,0.003478569215367487,-0.005291636551484294,-0.004336341057643052,0.14414826179149437,0.1685756606037652,174140562.0,170897555.0,2003803.0,174134216.0,171231251.0,2033469.0,-0.11803153639816862,-0.11736335408296998,0.00014665526508763694,0.00014716850376495627,-7.299767604378331e-05,-5.8645625487618085e-05
1,75,600,-0.11762792904909478,-0.11833071141970883,-0.12009712506819689,-0.11738606481060387,-0.11774260834611043,-0.11949547467821393,0.0006209662140521489,0.0006512514272662386,0.0006613486395535997,0.00045650018619147737,0.0005426183196979534,0.0005378430579651823,0.014845819403039834,0.01609180907944793,0.014772863827236813,0.01830799020725353,0.0018837289989883262,0.0044410864827017565,0.002343700359714116,0.0034622839309592615,-0.005506781608452778,-0.004500949173293173,0.12688615884702284,0.15864901938600573,167703507.0,164191956.0,2003803.0,167694898.0,164479392.0,2033469.0,-0.11758240616234628,-0.11720418006887737,0.00014882710425516863,0.00014930024899749908,-7.561638348346843e-05,-6.090557120671189e-05
2,100,600,-0.11770703651961974,-0.11853750158952633,-0.12007403395691753,-0.1174342251707706,-0.11793515283653187,-0.11945564581883907,0.0006686201919110689,0.0006882881591649785,0.0007160528335489668,0.0004921473363469952,0.0005699385094484667,0.0005817731017857266,0.0129402258156515,0.015248948438198743,0.012834800647904272,0.01774780589881296,0.0014281879598228755,0.004617568023236765,0.0020611897592097677,0.0036513713748261988,-0.005963427811594021,-0.004870201804174387,0.1103680863200586,0.1605938273413174,160207151.0,156513719.0,2003803.0,160201636.0,156780377.0,2033469.0,-0.1173058349307357,-0.11690455636954958,0.00015169449799979148,0.00015215848398263468,-8.181007856079898e-05,-6.584067786049012e-05
3,125,600,-0.11775661175317613,-0.11851013848555474,-0.11994505369458447,-0.11731253779285673,-0.11791474469705654,-0.1191988980334054,0.0007334896494795528,0.0007569419179298429,0.0007827359884577842,0.0005338445124566352,0.000626846190374738,0.0006153382767125262,0.012087989580966102,0.014336835477694623,0.010852801903302825,0.01711669372556425,0.0014569527423496868,0.0047728753357844265,0.0018081691717052202,0.003851275456940712,-0.006525787969972161,-0.005162281588711315,0.12052895418141513,0.1666085115913653,151880931.0,148086905.0,1981681.0,151876794.0,148335003.0,2010427.0,-0.11694879439269325,-0.11641916076646894,0.0001552603339871492,0.00015572496191721,-8.930632833536527e-05,-6.942456674959659e-05
4,150,600,-0.11783970354178744,-0.11887854182252175,-0.12019407182787335,-0.11722748551558303,-0.11809844994118229,-0.11919127256307552,0.0008158874196455991,0.0008105192228506649,0.0008588543748719234,0.00059252131414242,0.0006896602454787079,0.0006870655640170245,0.011073535311897933,0.014453716545229056,0.009241176910685454,0.017686077075389363,0.0014775236106376148,0.005611859128983926,0.0017157962212830606,0.0044170567158867465,-0.007145563519154799,-0.005764394902768005,0.13342835589733418,0.18566858289436136,142906311.0,139075289.0,1923378.0,142902022.0,139308223.0,1950642.0,-0.11697191788505579,-0.11619376790813153,0.00015953713827550413,0.00016001539781817915,-9.815707181341623e-05,-7.755946842021135e-05
5,175,600,-0.1182299533763231,-0.11890204718612493,-0.12012177377926077,-0.11737408110461797,-0.11801095772725241,-0.11908918573342431,0.0008890933908055247,0.000917994776852079,0.0009718038976369297,0.0006637021360503965,0.0007792928793781915,0.0007756406669380243,0.01027075519282752,0.01331522663517123,0.009120393192093491,0.016813485341684472,0.0015936188825565244,0.005720916082385555,0.0019428699275313038,0.004648015241573414,-0.00809015607297595,-0.006513107484622999,0.15516082825821925,0.213024799107958,133443489.0,129627099.0,1839505.0,133440162.0,129842959.0,1865243.0,-0.11668637547194108,-0.1158788480826964,0.00016456593866002344,0.00016505457883352328,-0.0001110217129718209,-8.753950432489824e-05
6,190,600,-0.11763055866635624,-0.11812631944793912,-0.11921044298256644,-0.11715244661038504,-0.11776242617421118,-0.11860636649421435,0.0009499088987551216,0.0009402514945469963,0.0009651516580501056,0.0007489007371738437,0.0008821129541140727,0.0008400050124481092,0.00915967526576426,0.01199635941796381,0.007145063996140082,0.015905365580311255,0.0017063286845044852,0.00599996582231796,0.0018752999204825968,0.004952636049930929,-0.008096200583628829,-0.007082292774638576,0.18628702819653,0.2624608990900116,123637155.0,119877207.0,1737770.0,123634541.0,120080815.0,1761526.0,-0.1155851163833624,-0.11519716931544197,0.00017041066089628978,0.0001709250791600873,-0.00010913543871631317,-9.436171619190943e-05
7,200,600,-0.11763055866635624,-0.11812631944793912,-0.11921044298256644,-0.11715244661038504,-0.11776242617421118,-0.11860636649421435,0.0009499088987551216,0.0009402514945469963,0.0009651516580501056,0.0007489007371738437,0.0008821129541140727,0.0008400050124481092,0.00915967526576426,0.01199635941796381,0.007145063996140082,0.015905365580311255,0.0017063286845044852,0.00599996582231796,0.0018752999204825968,0.004952636049930929,-0.008096200583628829,-0.007082292774638576,0.18628702819653,0.2624608990900116,123637155.0,119877207.0,1737770.0,123634541.0,120080815.0,1761526.0,-0.1155851163833624,-0.11519716931544197,0.00017041066089628978,0.0001709250791600873,-0.00010913543871631317,-9.436171619190943e-05
8,225,600,-0.11669695882433043,-0.11740755872159502,-0.11855081791659201,-0.11724107943335746,-0.11809995558550399,-0.11896188916161511,0.0009458935693569284,0.0010044396158716332,0.001050533243378091,0.0008698918734311367,0.0010072597847958827,0.0009547001343658974,0.009698378651140403,0.01294358022763313,0.007277680699532299,0.02000690233357088,0.0019665770923983144,0.007937938805717545,0.0021815161371401587,0.006390319553211381,-0.008861459261438479,-0.00802526036778799,0.2027737999451146,0.29975430734139713,113612476.0,109946788.0,1622607.0,113605164.0,110134423.0,1644408.0,-0.11472579512044209,-0.11532749533995157,0.0001771762454149247,0.00017773083784989924,-0.0001180331741738242,-0.00010758794073035356
9,250,600,-0.11666159417582928,-0.11692988247431158,-0.11804320676307523,-0.11731021079232154,-0.11788607985145029,-0.1185046098422311,0.0011170476333821173,0.001152117335995661,0.0012037518920706577,0.0010265605399802872,0.001184215442810536,0.0010944258431475615,0.009464150526597676,0.0108113834187851,0.005215080480919066,0.018615086985624207,0.0023241275240119437,0.008374756136618908,0.002258797541972204,0.006844535666984249,-0.010197553294927938,-0.009235301855384402,0.24557169895811642,0.4331280313384791,103483413.0,99946621.0,1496729.0,103480574.0,100126075.0,1518261.0,-0.11400879914903576,-0.11466308113935443,0.000185004135843261,0.00018559657357675917,-0.00013466042330605537,-0.00012288384299427422
