,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,threshold,thickness,dead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,n_KE,n_Type0,n_Type1,weighted_corrected_asymmetry_type0,dead_err_weight,err_dead_weighted_corrected_asymmetry_type0
0,50,600,-0.11701365978050919,-0.11834693321956201,-0.11962214029338308,0.0005274120348584585,0.0005400860556671782,0.0005273822277361029,0.010735762172379117,,0.0016818620255719323,,0,dead_layer_0,-0.0044087342564065055,0.1566597693360806,174134216.0,170323445.0,3047716.0,-0.11700431713571052,0.00014580675310331268,-5.961958204236243e-05
1,75,600,-0.11738606481060387,-0.11860011737529587,-0.11977813350847905,0.00045650018619147737,0.0005322840604149414,0.0005452507313387934,0.009922720330805457,,0.0016358906579428333,,0,dead_layer_0,-0.004552172549092154,0.16486312255160004,167694898.0,163733236.0,2932438.0,-0.11694846793361183,0.00014811790826879163,-6.164121947577051e-05
2,100,600,-0.1174342251707706,-0.11865379841805267,-0.1197232684915052,0.0004921473363469952,0.0005748021052725101,0.0005888128768011692,0.009012414835831453,,0.0016314780543658712,,0,dead_layer_0,-0.004918115619629509,0.18102562787938478,160201636.0,156158461.0,2796873.0,-0.11670168807466638,0.00015110467236274057,-6.654957353086985e-05
3,125,600,-0.11731253779285673,-0.11854835132571025,-0.11945826982441582,0.0005338445124566352,0.0006279267235755794,0.0006213398482297303,0.0076750953758419884,,0.0015416711502647409,,0,dead_layer_0,-0.005201312970152662,0.20086670911182175,151876794.0,147809735.0,2646449.0,-0.11625933588185565,0.00015476210031559588,-7.002805988124492e-05
4,150,600,-0.11722748551558303,-0.11863266088876798,-0.11944823376827539,0.00059252131414242,0.0006987547307397644,0.0006935296530348432,0.006879273484983688,,0.001639098837234221,,0,dead_layer_0,-0.005806110573223393,0.23826627053163416,142902022.0,138861505.0,2486058.0,-0.11607086644760381,0.00015911938371974892,-7.822829137469992e-05
5,175,600,-0.11737408110461797,-0.11852348093922235,-0.11935376363762228,0.0006637021360503965,0.0007883492892850033,0.0007831643868141879,0.007008545493740635,,0.0018558033686476812,,0,dead_layer_0,-0.0065617066688571654,0.2647915134895119,133440162.0,129461234.0,2319387.0,-0.11579486484039872,0.0001642072092280609,-8.834722993032428e-05
6,190,600,-0.11715244661038504,-0.11822346311250667,-0.11883665505922612,0.0007489007371738437,0.0008864396447108396,0.000841294987462695,0.005179295320203097,,0.0018148340066775352,,0,dead_layer_0,-0.007079423323076606,0.3504017234928341,123634541.0,119753638.0,2148753.0,-0.11510635827162115,0.00017011180631645658,-9.443605769379943e-05
7,200,600,-0.11715244661038504,-0.11822346311250667,-0.11883665505922612,0.0007489007371738437,0.0008864396447108396,0.000841294987462695,0.005179295320203097,,0.0018148340066775352,,0,dead_layer_0,-0.007079423323076606,0.3504017234928341,123634541.0,119753638.0,2148753.0,-0.11510635827162115,0.00017011180631645658,-9.443605769379943e-05
8,225,600,-0.11724107943335746,-0.11850693665593294,-0.11917787196877241,0.0008698918734311367,0.0010183643376681687,0.000957886438365765,0.0056531242634937015,,0.0020932928248369007,,0,dead_layer_0,-0.008037452108699803,0.37028954738440856,113605164.0,109853843.0,1975121.0,-0.11524253630170919,0.0001769401244809409,-0.00010787611744558346
9,250,600,-0.11731021079232154,-0.11830871341366372,-0.11875278800414286,0.0010265605399802872,0.0011982703748277936,0.0011029090676015398,0.0037315557356000124,,0.0021863150724980404,,0,dead_layer_0,-0.009287437256319938,0.5858990800110597,103480574.0,99886761.0,1800617.0,-0.1146285809494397,0.00018482191467238237,-0.00012381850117286264
10,275,600,-0.11784657136913547,-0.11903844625304479,-0.11924737263045035,0.0011870271139096632,0.0013688447210586754,0.0012900792488232833,0.0017379221239883014,,0.002317016123920598,,0,dead_layer_0,-0.010818512981592148,1.3332105575613207,93365009.0,89958503.0,1625184.0,-0.1148965254051278,0.00019395827195235353,-0.00014546754899663695
11,300,600,-0.11805114329858071,-0.11961847650413499,-0.11961398343338195,0.0014432284508668542,0.0016339401805411911,0.0015600708648169184,-7.245900429675617e-05,,0.0025964418955547026,,0,dead_layer_0,-0.013042545863258433,-35.833253862017806,83366281.0,80176612.0,1450067.0,-0.1150374446895705,0.00020460001616690125,-0.00017653925006216748
12,50,625,-0.11675882023682696,-0.1181700238836793,-0.11942375861000991,0.000563842933787175,0.0005457871702035478,0.0005420878813893103,0.010547530636131185,,0.0016138955367445986,,0,dead_layer_0,-0.004539196284715438,0.15301169462510067,176834142.0,172823804.0,3092534.0,-0.11671540358399604,0.00014448394747622887,-6.120937086557015e-05
13,75,625,-0.11709826037857737,-0.11840043599334546,-0.11955971386389662,0.0005200991381094986,0.0005451853942674946,0.000563800598520199,0.00975907041897013,,0.001563510401666001,,0,dead_layer_0,-0.004715640246195417,0.16021099700508132,170394824.0,166233595.0,2977256.0,-0.116639934161186,0.00014673012606007012,-6.366422720991795e-05
14,100,625,-0.1171183387668837,-0.11843324253057128,-0.11948712014749034,0.000560170414947153,0.0005877033476561818,0.0006059042129972454,0.008876420187748757,,0.001551351467365173,,0,dead_layer_0,-0.005070874687157414,0.17477219808795774,162901562.0,158658820.0,2841691.0,-0.11637509950824808,0.00014963046408707212,-6.837586322559518e-05
15,125,625,-0.11696721239918588,-0.11830758774470672,-0.11920770742388034,0.0006038505566047738,0.0006379938022691428,0.000635832217409644,0.00758972886690351,,0.0014568593100935958,,0,dead_layer_0,-0.00533381801521225,0.19195143010266338,154576720.0,150310094.0,2691267.0,-0.1159173367658982,0.00015317775044218547,-7.152724829450419e-05
16,150,625,-0.11684127809420569,-0.11835547910696245,-0.11916474493519236,0.0006649958632603303,0.0007081178135914428,0.000705846181409258,0.00682479643437682,,0.0015398828040193062,,0,dead_layer_0,-0.0059232802603918795,0.22563058383145967,145601948.0,141361864.0,2530876.0,-0.11569454048185777,0.0001573972508394844,-7.942747143280457e-05
17,175,625,-0.11692237600296063,-0.11821057186100621,-0.11903280488614838,0.0007462637964273685,0.0007924547256816051,0.0007907507857627734,0.006938396616815854,,0.0017338109322847018,,0,dead_layer_0,-0.006643133264977708,0.24988639710832453,136140088.0,131961593.0,2364205.0,-0.11537937710187408,0.0001623146932535799,-8.893652727610797e-05
18,190,625,-0.11664028008777666,-0.11787661410762351,-0.1184934504010723,0.0008330337676155966,0.0008814808779185338,0.0008411296482510964,0.00521205492737649,,0.0016834718898371844,,0,dead_layer_0,-0.0070985328337057575,0.322995807468316,126334467.0,122253997.0,2193571.0,-0.11466623696486836,0.0001680083335963216,-9.409021732665333e-05
19,200,625,-0.11664028008777666,-0.11787661410762351,-0.1184934504010723,0.0008330337676155966,0.0008814808779185338,0.0008411296482510964,0.00521205492737649,,0.0016834718898371844,,0,dead_layer_0,-0.0070985328337057575,0.322995807468316,126334467.0,122253997.0,2193571.0,-0.11466623696486836,0.0001680083335963216,-9.409021732665333e-05
20,225,625,-0.11663130731385259,-0.11807857465542561,-0.11874997261161815,0.0009622894495259376,0.0010123998092302845,0.0009607193509418442,0.005659152635488354,,0.001926818568586878,,0,dead_layer_0,-0.008090270084389478,0.34047828229686966,116305090.0,112354202.0,2019939.0,-0.11471603186326768,0.00017457433288199263,-0.00010774814194383185
21,250,625,-0.11657723260871732,-0.1178109063300984,-0.11827209541176478,0.0011262941153740752,0.0011762430224137078,0.0010898215733508864,0.003885323349375378,,0.001998763413545365,,0,dead_layer_0,-0.009214528326032173,0.5144394002282191,106180500.0,102387120.0,1845435.0,-0.11404673386898546,0.0001821279318151725,-0.0001217429328768195
22,275,625,-0.1169161478447557,-0.11837622784637812,-0.11862498845897809,0.0013221792661955271,0.00135754983495054,0.0012788408417354715,0.00209250852556713,,0.0021122286364008667,,0,dead_layer_0,-0.010780535014995677,1.009424148381136,96064935.0,92458862.0,1670002.0,-0.11417205911480863,0.00019084852349930597,-0.0001433222931549926
23,300,625,-0.11689237525679974,-0.11875269171167814,-0.11881675471602138,0.001594369292998091,0.0016233106935288517,0.0015397604814482188,0.0005334908243594739,,0.0023660283314756157,,0,dead_layer_0,-0.012959119150563669,4.4349934871257535,86066207.0,82676971.0,1494885.0,-0.11413782164201348,0.00020095618758844493,-0.00017290792405977467
24,50,650,-0.11679856268786347,-0.11833162479610954,-0.11954178038690395,0.0005420690369677672,0.0005526646415743626,0.0005357852834305016,0.010187307479372305,,0.0016004492193281662,,0,dead_layer_0,-0.0044819918332854106,0.1571022787492008,178894001.0,174710919.0,3126117.0,-0.1167465325474618,0.00014346870523219887,-6.0500872193593756e-05
25,75,650,-0.11712799607618003,-0.11856439246228256,-0.11968060563527816,0.0004983507140256231,0.0005514595252771716,0.0005553670125134349,0.009403650372106,,0.0015487103870261466,,0,dead_layer_0,-0.004640409442828971,0.1646924678973687,172454683.0,168120710.0,3010839.0,-0.11667290236840344,0.00014566566047122462,-6.270984680893127e-05
26,100,650,-0.1171499007059058,-0.11861072120305585,-0.11962156651243676,0.0005351800351971918,0.0005923294588325589,0.0005959393484108026,0.008520870878092944,,0.0015321795540612988,,0,dead_layer_0,-0.004981872130464402,0.17981490108018347,164961421.0,160545935.0,2875274.0,-0.1164196824050385,0.00014850066886533696,-6.725412620617256e-05
